fixture_id,date,match_time,region_league,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,status,match_link,last_updated
tf6XBiLj,07.02.2026,07.02.2026 00:30,Unknown,Anzoategui FC,Rayo Zuliano,K4Nn6Z08,l0k1Tw5i,1,3,finished,,https://www.flashscore.com/match/football/academia-anzoategui-K4Nn6Z08/rayo-zuliano-l0k1Tw5i/?mid=tf6XBiLj,2026-02-13T12:17:02.146926
0lfYuUUj,07.02.2026,07.02.2026 01:00,MARTINIQUE: - Trophee Gerard Janvion,Trenelle,Aiglon Lamentin,MwQz79uA,h631gDbd,,,scheduled,,https://www.flashscore.com/match/football/aiglon-lamentin-MwQz79uA/trenelle-h631gDbd/?mid=0lfYuUUj,2026-02-13T12:17:07.417590
tQjEK13t,07.02.2026,07.02.2026 01:00,TRINIDAD AND TOBAGO: - TT Premier League,La Horquetta,Central FC,vurQNrno,GSC7hOKE,,,scheduled,,https://www.flashscore.com/match/football/central-fc-vurQNrno/la-horquetta-GSC7hOKE/?mid=tQjEK13t,2026-02-13T12:17:07.710953
048285,,,,,,,,,,,,,
ANO0RxCD,07.02.2026,07.02.2026 01:30,Unknown,Wanderers,Defensor Sp.,U9v7QSIL,dvF4FAJd,1,1,finished,,https://www.flashscore.com/match/football/defensor-sp-U9v7QSIL/wanderers-dvF4FAJd/?mid=ANO0RxCD,2026-02-13T12:17:04.662541
IXtTbbak,07.02.2026,07.02.2026 02:00,GUATEMALA: - Liga Nacional - Clausura,Malacateco,Municipal,0AiC6BNB,r5ooNVip,,,scheduled,,https://www.flashscore.com/match/football/malacateco-0AiC6BNB/municipal-r5ooNVip/?mid=IXtTbbak,2026-02-13T12:17:09.309870
YikS1BiA,07.02.2026,07.02.2026 01:00,MARTINIQUE: - Trophee Gerard Janvion,Emulation,Golden Star,jJvKtzFj,dShMo0xi,,,scheduled,,https://www.flashscore.com/match/football/emulation-jJvKtzFj/golden-star-dShMo0xi/?mid=YikS1BiA,2026-02-13T12:17:05.810923
IieYUZuK,07.02.2026,07.02.2026 02:00,HONDURAS: - Liga Nacional - Clausura,Juticalpa,Genesis,IL2ZQcXn,SUJOXqvc,,,scheduled,,https://www.flashscore.com/match/football/genesis-fc-IL2ZQcXn/juticalpa-SUJOXqvc/?mid=IieYUZuK,2026-02-13T12:17:09.734363
xWSuOlmm,07.02.2026,07.02.2026 02:00,MEXICO: - Liga MX - Clausura,Necaxa,Atl. San Luis,OYSN90J0,nw32pOQD,,,scheduled,,https://www.flashscore.com/match/football/atletico-san-luis-OYSN90J0/necaxa-nw32pOQD/?mid=xWSuOlmm,2026-02-13T12:17:09.917163
tnSATAPP,07.02.2026,07.02.2026 02:00,MEXICO: - Liga MX - Clausura,Tigres UANL,Santos Laguna,EBPEFrRQ,Iy4albIC,,,scheduled,,https://www.flashscore.com/match/football/santos-laguna-EBPEFrRQ/tigres-uanl-Iy4albIC/?mid=tnSATAPP,2026-02-13T12:17:10.202296
